Added,Cover,Sample,Web Player,Search In Goodreads,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,Asin,Isbn 10,Isbn 13,Summary,People Also Bought,Is New
19,"=HYPERLINK(""https://audible.com/pd/059345300X?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51Z9kCQl4qL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/peng/005977/bk_peng_005977_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=059345300X""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Stuart%20Woods%20-%20Criminal%20Mischief""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/059345300X?ipRedirectOverride=true&overrideBaseCountry=true"";""Criminal Mischief: A Stone Barrington Novel"")","=HYPERLINK(""https://audible.com/pd/059345300X?ipRedirectOverride=true&overrideBaseCountry=true"";""Criminal Mischief"")",Stone Barrington (book 60),'60,"After a dangerous adventure has him traveling up and down the coast, Stone Barrington is looking forward to some down time at his Manhattan abode. But when an acquaintance alerts him to a hinky plot being hatched across the city, he finds himself eager to pursue justice....",Stuart Woods,Tony Roberts,"Thriller & Suspense, Suspense",Literature & Fiction > Action & Adventure,Literature & Fiction,Action & Adventure,'7h 5m,',2021-12-28,Penguin Audio,','4.4,'19,,Unabridged Audiobook,English,available,,,,true,,,'059345300X,,,"<p><b>In this exhilarating new thriller from number one </b><b><i>New York Times </i></b><b>best-selling author Stuart Woods, Stone Barrington goes up against an enemy on the run.</b></p> <p>After a dangerous adventure has him traveling up and down the coast, Stone Barrington is looking forward to some down time at his Manhattan abode. But when an acquaintance alerts him to a hinky plot being hatched across the city, he finds himself eager to pursue justice.&nbsp;</p> <p>After the mastermind behind it all proves more evasive than anyone was expecting, Stone sets out on an international chase to places he's never gone before. With the help of old friends — and alluring new ones — Stone is determined to see the pursuit through to the end, even if it means going up against a foe more unpredictable than he has ever faced....</p>","Imperfect Strangers, Fear No Evil, Heat, One for the Money, 2 Sisters Detective Agency, The Jailhouse Lawyer",true
18,"=HYPERLINK(""https://audible.com/pd/B09NB3YHQQ?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51SEr8nlXML._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/tant/030210/bk_tant_030210_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B09NB3YHQQ""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=John%20Gilstrap%20-%20Threat%20Warning""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B09NB3YHQQ?ipRedirectOverride=true&overrideBaseCountry=true"";""Threat Warning: A Jonathan Grave Thriller, Book 3"")","=HYPERLINK(""https://audible.com/pd/B09NB3YHQQ?ipRedirectOverride=true&overrideBaseCountry=true"";""Threat Warning"")",Jonathan Grave (book 3),'3,"When a cult-like paramilitary group decides to make its deadly presence known, the first victims are random. Ordinary citizens going about their lives in Washington, DC, are suddenly fired upon at rush hour by unseen assassins....",John Gilstrap,Basil Sands,"Political, Suspense","Mystery, Thriller & Suspense > Thriller & Suspense","Mystery, Thriller & Suspense",Thriller & Suspense,'12h 6m,',2021-12-21,Tantor Audio,','3,'1,,Unabridged Audiobook,English,available,,,,true,,,'B09NB3YHQQ,,,"<p>A hostage rescue specialist is on the trail of a homegrown terrorist organization in this thriller by the <i>New York Times</i> best-selling author.</p> <p>When a cult-like paramilitary group decides to make its deadly presence known, the first victims are random. Ordinary citizens going about their lives in Washington, DC, are suddenly fired upon at rush hour by unseen assassins. Caught in the crossfire of one of the attacks, rescue specialist Jonathan Grave spies a gunman getting away - with a mother and her young son as hostages.</p> <p>To free them, Grave and his Security Solutions team must enter the dark heart of a nationwide conspiracy. But their search goes beyond the frenzied schemes of a madman's deadly ambitions. This time, it reaches all the way to the highest levels of power....</p>","Nathan's Run, At All Costs, Crimson Phoenix, Close to Home, The Hunt for Red October, The Secret Weapon, Armored, Fear No Evil, The American, By Order of the President, Clive Cussler's The Devil's Sea, Chasing the Lion, Hawke: Three Black Ops, Brilliance, Dead Six, Hard Road, Robert Ludlum's The Bourne Treachery, Constant Fear",true
17,"=HYPERLINK(""https://audible.com/pd/B09NB41MV4?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51n01Yso9FL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/tant/030184/bk_tant_030184_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B09NB41MV4""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=John%20Gilstrap%20-%20End%20Game""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B09NB41MV4?ipRedirectOverride=true&overrideBaseCountry=true"";""End Game: A Jonathan Grave Thriller, Book 6"")","=HYPERLINK(""https://audible.com/pd/B09NB41MV4?ipRedirectOverride=true&overrideBaseCountry=true"";""End Game"")",Jonathan Grave (book 6),'6,"Deep in the American Heartland, a team of assassins goes to work. In short order, a Chechen scientist and double agent for the US government is dead. But the team didn't exactly finish the job....",John Gilstrap,Basil Sands,"Crime Thrillers, Political, Technothrillers","Mystery, Thriller & Suspense > Thriller & Suspense","Mystery, Thriller & Suspense",Thriller & Suspense,'11h 23m,',2021-12-21,Tantor Audio,','4,'4,,Unabridged Audiobook,English,available,,,,true,,,'B09NB41MV4,,,"<p>The son of a government scientist must be found at any cost in this taut political thriller that ""starts off explosively and keeps on rolling."" (Joe Hartlaub, <i>BookReporter</i>)</p> <p>Deep in the American Heartland, a team of assassins goes to work. In short order, a Chechen scientist and double agent for the US government is dead. But the team didn't exactly finish the job. The man's teenage son is still alive. In possession of crucial and potentially lethal information, he's now on the run - and off the grid.</p> <p>The feds know who to call: Jonathan Grave and his elite rescue team at Security Solutions. Their mission is simple: Find the boy and keep his information out of the wrong hands. But simple doesn't mean easy. The boy has a bodyguard with unusual talents, and she's not giving up without a fight. Only by bringing them both back alive can Grave expose the traitor in the highest levels of power - and prevent an all-out nuclear war.</p>","Armored, Nathan's Run, At All Costs, Crimson Phoenix, Fear No Evil, The Hunt for Red October, Clive Cussler's The Devil's Sea, Hawke: Three Black Ops, Dark Intercept, The Others, Last Man Standing, The Polaris Protocol, Dead Six, The Silencer, Misjudged, Constant Fear, Paying the Piper, Buried in Black",true
16,"=HYPERLINK(""https://audible.com/pd/B09NB4M8BN?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51VNRQ3m-yL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/tant/030209/bk_tant_030209_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B09NB4M8BN""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=John%20Gilstrap%20-%20High%20Treason""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B09NB4M8BN?ipRedirectOverride=true&overrideBaseCountry=true"";""High Treason: A Jonathan Grave Thriller, Book 5"")","=HYPERLINK(""https://audible.com/pd/B09NB4M8BN?ipRedirectOverride=true&overrideBaseCountry=true"";""High Treason"")",Jonathan Grave (book 5),'5,"First Lady Anna Darmond's penchant for late night parties in South East DC is a harmless open secret - until she's kidnapped out from under the noses of her Secret Service agents in a bloody gunfight. It's an unthinkable crime that, if revealed, could cause public panic....",John Gilstrap,Basil Sands,"War & Military, Military, Espionage, Political",Literature & Fiction > Genre Fiction,Literature & Fiction,Genre Fiction,'13h 5m,',2021-12-21,Tantor Audio,',',',,Unabridged Audiobook,English,available,,,,,,,'B09NB4M8BN,,,"<p>When the First Lady is kidnapped, a rescue specialist discovers her secrets - and a deadly conspiracy - in a thriller by the <i>New York Times </i>best-selling author.</p> <p>First Lady Anna Darmond's penchant for late night parties in South East DC is a harmless open secret - until she's kidnapped out from under the noses of her Secret Service agents in a bloody gunfight. It's an unthinkable crime that, if revealed, could cause public panic. That's why hostage rescue specialist Jonathan Grave and his team must operate in absolute secrecy.</p> <p>But Grave soon realizes that, extraordinary as it is, the mission is not all it seems. There are shadows in Mrs. Darmond's past, cracks in the presidential marriage - and leaks in the country's critical shields of security. As Grave tracks the missing First Lady through a labyrinth of lies and murder, he confronts a traitor at the highest level of Washington power-and a devastating scheme to bring a nation to its knees.</p>","Soft Targets, Nathan's Run, At All Costs, Crimson Phoenix, Fear No Evil, State of Terror, The Hunt for Red October, The Silent Dolls, The Secret Weapon, Hard Road, Simple Genius, Last Man Standing, The Janson Directive, Dead Six, The Wreck, Misjudged, Drift, Termination Orders",true
15,"=HYPERLINK(""https://audible.com/pd/1713559390?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51ypaYNZy0S._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/brll/013149/bk_brll_013149_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=1713559390""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Steven%20Konkoly%20-%20Skystorm""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/1713559390?ipRedirectOverride=true&overrideBaseCountry=true"";""Skystorm: Ryan Decker, Book 4"")","=HYPERLINK(""https://audible.com/pd/1713559390?ipRedirectOverride=true&overrideBaseCountry=true"";""Skystorm"")",Ryan Decker (book 4),'4,"Unmasking a treasonous American conspiracy is a dangerous move in a heart-pounding thriller about greed, power, revenge, and murder....",Steven Konkoly,Thom Rivera,"Thriller & Suspense, War & Military, Crime Thrillers, Military, Political",Literature & Fiction > Action & Adventure,Literature & Fiction,Action & Adventure,'9h 56m,',2021-05-11,Brilliance Audio,','4.7,'263,,Unabridged Audiobook,English,available,,,,true,,,'1713559390,'1542022649,'9781542022644,"<p><b>A </b><b><i>Wall Street Journal</i></b><b> bestselling series. </b></p> <p><b>Unmasking a treasonous American conspiracy is a dangerous move in a heart-pounding thriller about greed, power, revenge, and murder. </b></p> <p>After covert investigators Ryan Decker and Harlow Mackenzie demolished APEX, a billion-dollar criminal enterprise, a tenuous truce between the two factions suggested the battle was over. But not for Decker’s director, Senator Margaret Steele. She’s uncovered an even deadlier operation - code name Skystorm.&nbsp;</p> <p>Skystorm violates every international arms-trafficking law imaginable. And for the senator, exposing the plot may be a gamble too far. APEX has caught wind of the investigation, and they’ve gone on the offensive. Steele’s warning to Decker and Harlow: we’re all in a no-holds-barred fight for our lives.&nbsp;</p> <p>With APEX’s scorched-earth tactics now unmistakable, Decker and Harlow pull the trigger on their worst-case-scenario plan and move to turn the tables on their ruthless adversary. With a shadowy mercenary team, Decker and Harlow embark for a war - one that Skystorm’s influential DC backers have no intention of losing. To safeguard their treasonous secret, they aim to bury it, along with Decker and everyone he loves.</p>","Fractured State, The Jakarta Pandemic: A Modern Thriller, The Suriname Job, The Opening Chase: A Chase Fulton Novel, Hard Road, Caribbean Wake, Power Move, The Final Empire, Dark Intercept, The Import, Rogue, I Found You, The Ranch: Jack Sterlings Legacy, Steelheart, Close to Home, The Family Upstairs, Warning Light, Betrayal",true
14,"=HYPERLINK(""https://audible.com/pd/B09L587H6R?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/41wQxU05mTL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/acx0/285176/bk_acx0_285176_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B09L587H6R""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Jack%20Mars%20-%20Primary%20Duty""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B09L587H6R?ipRedirectOverride=true&overrideBaseCountry=true"";""Primary Duty: The Forging of Luke Stone, Book 6 (An Action Thriller)"")","=HYPERLINK(""https://audible.com/pd/B09L587H6R?ipRedirectOverride=true&overrideBaseCountry=true"";""Primary Duty"")",The Forging of Luke Stone (book 6),'6,"In Primary Duty: The Forging of Luke Stone, Book 6, a groundbreaking action thriller by number one best seller Jack Mars, a Supreme Court Justice is taken hostage by a terrorist organization....",Jack Mars,Larry Gorman,"War & Military, Military, Political",Literature & Fiction > Genre Fiction,Literature & Fiction,Genre Fiction,"'8h 37m ",'Finished,2021-11-05,Jack Mars,','4.5,'22,,Unabridged Audiobook,English,available,,,,true,,,'B09L587H6R,'1094372129,'9781094372129,"<p><b>In </b><b><i>Primary Duty: The Forging of Luke Stone, Book 6</i></b><b>, a groundbreaking action thriller by number one best seller Jack Mars, a Supreme Court justice is taken hostage by a terrorist organization. With a consequential decision before the court, the death of this swing Justice could change the political landscape for decades. </b></p> <p><b>Getting him back, against the backdrop of a massive marvel of engineering, would be mission impossible - a mission that only elite Delta Force veteran Luke Stone, 29, and the FBI’s Special Response Team, may be crazy enough to take on.</b></p> <p>In this action-packed military thriller, filled with shocking twists and turns, the stakes as high as can be, Luke and his team may be up for their most challenging mission yet.</p> <p><i>Primary Duty</i> is a stand-alone, un-putdownable military thriller, a wild action ride that will leave you turning pages late into the night. The precursor to the number one best-selling Luke Stone Thriller Series, this series takes us back to how it all began, a riveting series by best seller Jack Mars, dubbed “one of the best thriller authors” out there.</p> <p>Also available is Jack Mars’ number one best-selling Luke Stone Thriller series (seven books), which begins with <i>Any Means Necessary</i> (Book 1), a free download with over 800 five-star reviews!</p>","Any Means Necessary, The Last Protector, Silent Assassin, Dark Intercept, The Secret Weapon, The Hunt for Red October, By Order of the President, The Opening Chase: A Chase Fulton Novel, The Suriname Job, Death Before Dawn, Betrayal, Caribbean Wake, Black Ghost, American Traitor, Operation Joktan, Weapons, Left for Dead, Unmasked",true
13,"=HYPERLINK(""https://audible.com/pd/B092311YC6?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/41O3AgkEOAS._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/acx0/253057/bk_acx0_253057_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B092311YC6""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Jack%20Mars%20-%20Primary%20Valor""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B092311YC6?ipRedirectOverride=true&overrideBaseCountry=true"";""Primary Valor: An Action Thriller (The Forging of Luke Stone, Book 5)"")","=HYPERLINK(""https://audible.com/pd/B092311YC6?ipRedirectOverride=true&overrideBaseCountry=true"";""Primary Valor"")",The Forging of Luke Stone (book 5),'5,"In Primary Valor, elite Delta Force veteran Luke Stone, 29, and the FBI’s Special Response Team, are summoned when a teenage girl is taken captive and trafficked to a billionaire’s private retreat in South America....",Jack Mars,Larry Gorman,"Literature & Fiction, Espionage, Suspense","Mystery, Thriller & Suspense > Thriller & Suspense","Mystery, Thriller & Suspense",Thriller & Suspense,"'10h 19m ",'Finished,2021-04-08,Jack Mars,','4.5,'130,,Unabridged Audiobook,English,available,,,,true,,,'B092311YC6,'1094371467,'9781094371467,"<p>In <i>Primary Valor</i> (The Forging of Luke Stone, Book 5), a ground-breaking action thriller by number one best seller Jack Mars, elite Delta Force veteran Luke Stone, 29, and the FBI’s Special Response Team, are summoned when a teenage girl is taken captive and trafficked to a billionaire’s private retreat in South America. Luke is handed an impossible rescue mission, pitting one man against an army.&nbsp;</p> <p><b>Making matters worse, behind it all may be something much greater, leading to the upper echelons of government, and to a national security crisis. </b>&nbsp;</p> <p><i>Primary Valor</i> is a stand-alone, un-putdownable military thriller, a wild action ride that will leave you listening late into the night. The precursor to the number one best-selling Luke Stone Thriller series, this series takes us back to how it all began, a riveting series by bestseller Jack Mars, dubbed “one of the best thriller authors” out there.&nbsp;</p> <p>Book 6 is also available!&nbsp;</p> <p>Also available is Jack Mars’ number one best-selling Luke Stone Thriller series (seven books), which begins with <i>Any Means Necessary</i> (Book 1), a free download with over 800 five star reviews!</p>","Any Means Necessary, The Secret Weapon, American Traitor, The Hunt for Red October, Chasing the Lion, Weapons, Betrayal, Steel Trust, 2 Sisters Detective Agency, The Import, Dark Intercept, Greatest Enemy: A David Rivers Thriller, The Opening Chase: A Chase Fulton Novel, Warning Light, The Suriname Job, Unmasked, Left for Dead, Black Ghost",true
12,"=HYPERLINK(""https://audible.com/pd/B07T4SH9DR?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51yq6cNV7aL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/acx0/154990/bk_acx0_154990_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B07T4SH9DR""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Steven%20Konkoly%20-%20Inception""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B07T4SH9DR?ipRedirectOverride=true&overrideBaseCountry=true"";""Inception: A Black Flagged Thriller Prequel"")","=HYPERLINK(""https://audible.com/pd/B07T4SH9DR?ipRedirectOverride=true&overrideBaseCountry=true"";""Inception"")",Black Flagged (book 0.5),'0.5,"Daniel Petrovich, the most lethal operative created by the Department of Defense's Black Flagged Program, represents a new breed of covert operative....",Steven Konkoly,John Davis Farrell,"War & Military, Military, Espionage, Political",Literature & Fiction > Genre Fiction,Literature & Fiction,Genre Fiction,'1h 53m,'Finished,2019-06-17,Stribling Media,','4.4,'44,,Unabridged Audiobook,English,available,,,,true,,,'B07T4SH9DR,,,"<p>Daniel Petrovich, the most lethal operative created by the Department of Defense's Black Flagged Program, represents a new breed of covert operative.&nbsp;</p> <p>He wasn't recruited from Special Forces, law enforcement, or any of the alphabet agencies. He isn't motivated by a sense of undying patriotism or bitter revenge. He's none of those things, which makes him all the more dangerous. Unlike most ""heroes"", there's no obvious black and white in Petrovich's world. He sees everything in gray - an uncompromising trait that will keep him alive long enough to pull off one of the biggest coups in covert military history.&nbsp;</p> <p>""Inception"" is Daniel Petrovich's origin story. The perfect place for a new listener to start the Black Flagged series.</p>","The Jakarta Pandemic: A Modern Thriller, Fractured State, The Last Air Force One: A Post-Apocalyptic Thriller, The Hunt for Red October, Armored, Dark Intercept, E-Day, Betrayal, Arisen: Raiders Volumes 1-2, Hunter, Left for Dead, The Silencer, The Secret Weapon, These Dead Lands: Immolation, Black Ghost, Monroe Doctrine: Volume I, By Order of the President, Hard Road",true
11,"=HYPERLINK(""https://audible.com/pd/B005FMYT3M?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51ERepFgfLL._SL75_.jpg""))","=HYPERLINK(""https://samples.audible.com/bk/reco/004869/bk_reco_004869_sample.mp3""; IMAGE(""https://i.imgur.com/R2N6OTy.png""; 4; 20; 20))","=HYPERLINK(""https://www.audible.com/webplayer?asin=B005FMYT3M""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Tim%20Dorsey%20-%20The%20Stingray%20Shuffle""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B005FMYT3M?ipRedirectOverride=true&overrideBaseCountry=true"";""The Stingray Shuffle"")","=HYPERLINK(""https://audible.com/pd/B005FMYT3M?ipRedirectOverride=true&overrideBaseCountry=true"";""The Stingray Shuffle"")",Serge Storms (book 5),'5,"In his latest bizarre concoction, Dorsey picks up - sort of - various plot strands from his earlier books, including Florida Roadkill, Hammerhead Ranch Motel, and Orange Crush....",Tim Dorsey,George K. Wilson,"Humorous, Mystery, Suspense",Literature & Fiction > Humor & Satire,Literature & Fiction,Humor & Satire,'11h 13m,',2011-08-03,Recorded Books,','4.4,'372,,Unabridged Audiobook,English,available,,,,true,,,'B005FMYT3M,'0061842303,'9780061842306,"<p>In his latest bizarre concoction, Dorsey picks up - sort of - various plot strands from his earlier books, including <i>Florida Roadkill, Hammerhead Ranch Motel,</i> and <i>Orange Crush</i>. There's still the matter, you see, of the briefcase full of cash, and still unresolved are the stories of Serge Storms, the serial killer and history buff; Johnny Vegas, the startlingly handsome virgin; Jethro Maddox, the Hemingway look-alike; and Paul, the Passive-Aggressive Private Eye. Fans of Dorsey's magnificently off-kilter adventures will be thrilled to rejoin these characters and to meet a host of new ones, including Mr. Granda, the leader of a down-and-out drug cartel who is looking to buy a submarine, and Ralph Krunkleton, one of America's very worst novelists, whose novel <i>The Stingray Shuffle</i> features prominently in the goings-on. A brilliantly constructed romp that is part thriller, part farce, and entirely, gloriously, deliriously wacky. </p>","Cadillac Beach, Double Whammy, Skin Tight, Tourist Season, Drunk on a Plane, Strip Tease, Lucky You, Basket Case, Mind Bullet, Nature Girl, Florida Straits, The Lust Lizard of Melancholy Cove, Island of the Sequined Love Nun, Tilt-a-Whirl, Angels and Demons, 11-22-63, The Witness, Big Trouble",true
